ItemName,Zone,Rack,Slot,Slot Dimensions,Max Weight,Near Picking Zone,Near Packing Machine,Near Outbound Gate
Pots,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Puzzles,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Paint,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pots,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Painkillers,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Camera,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Comics,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Staplers,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Basketball,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Wheat,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Salt,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Notebooks,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Nails,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pet Food,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Car Oil,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Shirt,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Screws,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Eyeliner,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Notebooks,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Painkillers,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pet Food,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Bleach,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Lipstick,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Paint,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Drills,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Plates,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Nails,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Drills,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Hammers,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Bleach,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Detergent,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Gasoline,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Markers,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pet Care Products,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pens,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Headphones,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Shoes,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Board Games,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Batteries,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Seeds,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Plates,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Shoes,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Screws,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Laptop,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Wheat,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Cutlery,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Comics,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Puzzles,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pet Food,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Painkillers,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Action Figures,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Acid,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Vitamins,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pans,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Car Oil,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Action Figures,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Camera,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Car Oil,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Action Figures,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Mascara,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Batteries,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pet Care Products,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Mascara,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Board Games,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Board Games,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Camera,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Headphones,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Prescription Medicine,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Painkillers,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Hammers,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Nails,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pants,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Non-fiction,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Mascara,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pet Toys,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Vitamins,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Plates,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Shirt,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Painkillers,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pet Food,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Board Games,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Shoes,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Shirt,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Alcohol,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pots,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Fertilizer,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Drills,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pots,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Fiction,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Nails,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pet Toys,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Car Oil,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Camera,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Seeds,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Foundation,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Board Games,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Staplers,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Academic,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Bleach,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Tennis Rackets,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Gardening Tools,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
